"month","day","hour","week","alloc_1","alloc_2"
1,25,8,FALSE,0.819674135372385,0.180325864627615
1,25,9,FALSE,0.756756536172798,0.243243463827202
1,25,10,FALSE,0.0602628959536562,0.939737104046344
1,25,11,FALSE,0.172259967468059,0.827740032531941
1,25,12,FALSE,0.0815247222550214,0.918475277744979
1,25,13,FALSE,0.141309758882664,0.858690241117336
1,25,14,FALSE,0.112268412590027,0.887731587409973
1,25,15,FALSE,0.0838712376318436,0.916128762368156
1,25,16,FALSE,0.28056342727596,0.71943657272404
1,25,17,FALSE,0.76839231101845,0.23160768898155
1,25,18,FALSE,0,0
1,25,19,FALSE,0,0
1,25,20,FALSE,0,0
1,25,21,FALSE,0,0
1,25,22,FALSE,0,0
1,25,23,FALSE,0,0
1,26,0,FALSE,0,0
1,26,1,FALSE,0,0
1,26,2,FALSE,0,0
1,26,3,FALSE,0,0
1,26,4,FALSE,0,0
1,26,5,FALSE,0,0
1,26,6,FALSE,0,0
1,26,7,FALSE,0,0
1,26,8,FALSE,0.819674135372385,0.180325864627615
1,26,9,FALSE,0.756756536172798,0.243243463827202
1,26,10,FALSE,0.0602628959536562,0.939737104046344
1,26,11,FALSE,0.172259967468059,0.827740032531941
1,26,12,FALSE,0.0815247222550214,0.918475277744979
1,26,13,FALSE,0.141309758882664,0.858690241117336
1,26,14,FALSE,0.112268412590027,0.887731587409973
1,26,15,FALSE,0.0838712376318436,0.916128762368156
1,26,16,FALSE,0.28056342727596,0.71943657272404
1,26,17,FALSE,0.76839231101845,0.23160768898155
1,26,18,FALSE,0,0
1,26,19,FALSE,0,0
1,26,20,FALSE,0,0
1,26,21,FALSE,0,0
1,26,22,FALSE,0,0
1,26,23,FALSE,0,0
1,27,0,TRUE,0,0
1,27,1,TRUE,0,0
1,27,2,TRUE,0,0
1,27,3,TRUE,0,0
1,27,4,TRUE,0,0
1,27,5,TRUE,0,0
1,27,6,TRUE,0,0
1,27,7,TRUE,0,0
1,27,8,TRUE,0.15074020605512,0.84925979394488
1,27,9,TRUE,0.378564930181946,0.621435069818054
1,27,10,TRUE,0.257515355432217,0.742484644567783
1,27,11,TRUE,0.290387670709699,0.709612329290301
1,27,12,TRUE,0.00712085488356058,0.992879145116439
1,27,13,TRUE,0.0171928650729543,0.982807134927046
1,27,14,TRUE,0.237156344620896,0.762843655379104
1,27,15,TRUE,0.0430895050013399,0.95691049499866
1,27,16,TRUE,0.383334444644348,0.616665555355652
1,27,17,TRUE,0.280155261511107,0.719844738488893
1,27,18,TRUE,0,0
1,27,19,TRUE,0,0
1,27,20,TRUE,0,0
1,27,21,TRUE,0,0
1,27,22,TRUE,0,0
1,27,23,TRUE,0,0
1,28,0,TRUE,0,0
1,28,1,TRUE,0,0
1,28,2,TRUE,0,0
1,28,3,TRUE,0,0
1,28,4,TRUE,0,0
1,28,5,TRUE,0,0
1,28,6,TRUE,0,0
1,28,7,TRUE,0,0
1,28,8,TRUE,0.15074020605512,0.84925979394488
1,28,9,TRUE,0.378564930181946,0.621435069818054
1,28,10,TRUE,0.257515355432217,0.742484644567783
1,28,11,TRUE,0.290387670709699,0.709612329290301
1,28,12,TRUE,0.00712085488356058,0.992879145116439
1,28,13,TRUE,0.0171928650729543,0.982807134927046
1,28,14,TRUE,0.237156344620896,0.762843655379104
1,28,15,TRUE,0.0430895050013399,0.95691049499866
1,28,16,TRUE,0.383334444644348,0.616665555355652
1,28,17,TRUE,0.280155261511107,0.719844738488893
1,28,18,TRUE,0,0
1,28,19,TRUE,0,0
1,28,20,TRUE,0,0
1,28,21,TRUE,0,0
1,28,22,TRUE,0,0
1,28,23,TRUE,0,0
1,29,0,TRUE,0,0
1,29,1,TRUE,0,0
1,29,2,TRUE,0,0
1,29,3,TRUE,0,0
1,29,4,TRUE,0,0
1,29,5,TRUE,0,0
1,29,6,TRUE,0,0
1,29,7,TRUE,0,0
1,29,8,TRUE,0.15074020605512,0.84925979394488
1,29,9,TRUE,0.378564930181946,0.621435069818054
1,29,10,TRUE,0.257515355432217,0.742484644567783
1,29,11,TRUE,0.290387670709699,0.709612329290301
1,29,12,TRUE,0.00712085488356058,0.992879145116439
