"month","day","hour","week","alloc_1","alloc_2","alloc_3","alloc_4","alloc_5","alloc_6","alloc_7","alloc_8"
7,15,23,TRUE,0,0,0,0,0,0,0,0
7,16,0,TRUE,0,0,0,0,0,0,0,0
7,16,1,TRUE,0,0,0,0,0,0,0,0
7,16,2,TRUE,0,0,0,0,0,0,0,0
7,16,3,TRUE,0,0,0,0,0,0,0,0
7,16,4,TRUE,0,0,0,0,0,0,0,0
7,16,5,TRUE,0,0,0,0,0,0,0,0
7,16,6,TRUE,0.0870845821169662,0.00167060894111876,0.0873132002207628,0.0648131164316688,0.0650393513322224,0.082899528189911,0.603110128173821,0.00806948459352909
7,16,7,TRUE,0.0813261160473029,0.00238503783707227,0.074980878397265,0.0730140741973886,0.110909363071559,0.0762691019724309,0.564416429166917,0.0166989993100644
7,16,8,TRUE,0.0814267135537567,0.00388261283383205,0.0633340632440983,0.0724688085976416,0.114363950088428,0.0685647458579086,0.568385279592645,0.0275738262316896
7,16,9,TRUE,0.0801773163328047,0.00428131213332065,0.0657809586960255,0.0825080628454172,0.112672597720544,0.0682961482168725,0.561055183737392,0.0252284203176235
7,16,10,TRUE,0.0798823558516943,0.00516509605132959,0.0691356152335599,0.0716964918498403,0.104624627444282,0.063779937161852,0.58529483334878,0.0204210430586618
7,16,11,TRUE,0.0769169144375772,0.00559798668289495,0.0803169021395478,0.0721311565631953,0.0905095285818287,0.0924231144859449,0.566787648588458,0.0153167485205529
7,16,12,TRUE,0.069944718289676,0.00663044031267596,0.0908315132631454,0.072303125585837,0.0923297485632547,0.0906076882786418,0.563576766523946,0.013775999182823
7,16,13,TRUE,0.0674653362369328,0.0065186084025528,0.120655585216689,0.0702809352942788,0.0876897049910077,0.0831030203276781,0.551653622005327,0.0126331875255338
7,16,14,TRUE,0.0707889786271412,0.0053388944128967,0.117072391671912,0.0810605323586821,0.0839302312124727,0.0798898587004681,0.548869045781874,0.0130500672345532
7,16,15,TRUE,0.0630883248447946,0.0032379943341534,0.115676113966803,0.0702751305143292,0.0958317284874291,0.0596930709591544,0.577839426361608,0.0143582105317282
7,16,16,TRUE,0.0601223977107381,0.00525087595090473,0.0885818714779335,0.0619385647178655,0.101483906671329,0.0626664348911248,0.605700112611052,0.0142558359690524
7,16,17,TRUE,0.0526210164646428,0.0062131226465359,0.0809198320627137,0.0544822912064752,0.103601949667026,0.0596215405316058,0.624158790769196,0.0183814566518047
7,16,18,TRUE,0.048602784168388,0.00548930143102822,0.0578138812478783,0.0526745301664376,0.113037836613025,0.0629148838854442,0.649142326822449,0.0103244556653497
7,16,19,TRUE,0.0397048594202519,0.00415830634000335,0.0502138773706429,0.0546025455936208,0.122310603515928,0.0726262222571603,0.647632901474144,0.00875068402824863
7,16,20,TRUE,0,0,0,0,0,0,0,0
7,16,21,TRUE,0,0,0,0,0,0,0,0
7,16,22,TRUE,0,0,0,0,0,0,0,0
7,16,23,TRUE,0,0,0,0,0,0,0,0
7,17,0,TRUE,0,0,0,0,0,0,0,0
7,17,1,TRUE,0,0,0,0,0,0,0,0
7,17,2,TRUE,0,0,0,0,0,0,0,0
7,17,3,TRUE,0,0,0,0,0,0,0,0
7,17,4,TRUE,0,0,0,0,0,0,0,0
7,17,5,TRUE,0,0,0,0,0,0,0,0
7,17,6,TRUE,0.0870845821169662,0.00167060894111876,0.0873132002207628,0.0648131164316688,0.0650393513322224,0.082899528189911,0.603110128173821,0.00806948459352909
7,17,7,TRUE,0.0813261160473029,0.00238503783707227,0.074980878397265,0.0730140741973886,0.110909363071559,0.0762691019724309,0.564416429166917,0.0166989993100644
7,17,8,TRUE,0.0814267135537567,0.00388261283383205,0.0633340632440983,0.0724688085976416,0.114363950088428,0.0685647458579086,0.568385279592645,0.0275738262316896
7,17,9,TRUE,0.0801773163328047,0.00428131213332065,0.0657809586960255,0.0825080628454172,0.112672597720544,0.0682961482168725,0.561055183737392,0.0252284203176235
7,17,10,TRUE,0.0798823558516943,0.00516509605132959,0.0691356152335599,0.0716964918498403,0.104624627444282,0.063779937161852,0.58529483334878,0.0204210430586618
7,17,11,TRUE,0.0769169144375772,0.00559798668289495,0.0803169021395478,0.0721311565631953,0.0905095285818287,0.0924231144859449,0.566787648588458,0.0153167485205529
7,17,12,TRUE,0.069944718289676,0.00663044031267596,0.0908315132631454,0.072303125585837,0.0923297485632547,0.0906076882786418,0.563576766523946,0.013775999182823
7,17,13,TRUE,0.0674653362369328,0.0065186084025528,0.120655585216689,0.0702809352942788,0.0876897049910077,0.0831030203276781,0.551653622005327,0.0126331875255338
7,17,14,TRUE,0.0707889786271412,0.0053388944128967,0.117072391671912,0.0810605323586821,0.0839302312124727,0.0798898587004681,0.548869045781874,0.0130500672345532
7,17,15,TRUE,0.0630883248447946,0.0032379943341534,0.115676113966803,0.0702751305143292,0.0958317284874291,0.0596930709591544,0.577839426361608,0.0143582105317282
7,17,16,TRUE,0.0601223977107381,0.00525087595090473,0.0885818714779335,0.0619385647178655,0.101483906671329,0.0626664348911248,0.605700112611052,0.0142558359690524
7,17,17,TRUE,0.0526210164646428,0.0062131226465359,0.0809198320627137,0.0544822912064752,0.103601949667026,0.0596215405316058,0.624158790769196,0.0183814566518047
7,17,18,TRUE,0.048602784168388,0.00548930143102822,0.0578138812478783,0.0526745301664376,0.113037836613025,0.0629148838854442,0.649142326822449,0.0103244556653497
7,17,19,TRUE,0.0397048594202519,0.00415830634000335,0.0502138773706429,0.0546025455936208,0.122310603515928,0.0726262222571603,0.647632901474144,0.00875068402824863
7,17,20,TRUE,0,0,0,0,0,0,0,0
7,17,21,TRUE,0,0,0,0,0,0,0,0
7,17,22,TRUE,0,0,0,0,0,0,0,0
7,17,23,TRUE,0,0,0,0,0,0,0,0
7,18,0,FALSE,0,0,0,0,0,0,0,0
7,18,1,FALSE,0,0,0,0,0,0,0,0
7,18,2,FALSE,0,0,0,0,0,0,0,0
7,18,3,FALSE,0,0,0,0,0,0,0,0
7,18,4,FALSE,0,0,0,0,0,0,0,0
7,18,5,FALSE,0,0,0,0,0,0,0,0
7,18,6,FALSE,0.112546160078995,0.00159251838906584,0.11068864871691,0.120361868331743,0.17903851928514,0.142764022753746,0.313292984614117,0.0197152778302825
7,18,7,FALSE,0.100922176154892,0.00373053319078314,0.117931888219777,0.118677432006275,0.252852096274598,0.11935764507686,0.268347413707681,0.018180815369135
7,18,8,FALSE,0.101872647703256,0.00830334196922392,0.0988272459419309,0.109640267260224,0.247493545682234,0.134260280732368,0.271811350288557,0.0277913204222083
7,18,9,FALSE,0.0944996842993828,0.00760224295950078,0.137417752355468,0.114762238016332,0.224073952152262,0.143912188669047,0.251575896333977,0.0261560452140298
7,18,10,FALSE,0.0932640835464431,0.00408429771379362,0.148019264516065,0.103269303166511,0.21658422330166,0.149072184694343,0.258163844575592,0.0275427984855915
7,18,11,FALSE,0.0864005812978266,0.00705174120573521,0.138522276791978,0.103852393840564,0.183310467579211,0.206105687802848,0.252685762405742,0.022071089076094
7,18,12,FALSE,0.0850228282686804,0.00835775099333912,0.132479214772567,0.10158413853277,0.194005662760914,0.195945365641297,0.260332913219047,0.022272125811386
7,18,13,FALSE,0.0854065996502512,0.0071992334177027,0.129147370246553,0.098753293816289,0.194050866943684,0.198928849350985,0.264449777141167,0.0220640094333682
7,18,14,FALSE,0.0997707068212022,0.00508762035541996,0.126636177841036,0.120649656093748,0.200301976922991,0.0934380212257524,0.328233572425255,0.0258822683145961
7,18,15,FALSE,0.101861842233631,0.00460240494447402,0.134367825178843,0.124928037095892,0.170593962417727,0.0620563555887458,0.368323706540797,0.0332658659998907
7,18,16,FALSE,0.0979571951378359,0.00898766708153331,0.12610811737913,0.133234855911731,0.155404750664411,0.0827384855028138,0.363883648723497,0.0316852795990473
7,18,17,FALSE,0.0979168662586134,0.0129498031647008,0.138690037743429,0.12878112524099,0.133343455815981,0.101258507491764,0.355369081062314,0.0316911232222072
7,18,18,FALSE,0.100877561771705,0.0143971223979331,0.131684265146698,0.13581207363646,0.126832616097816,0.0946498792695179,0.377143265825643,0.0186032158542278
7,18,19,FALSE,0.096276932560794,0.010262066935267,0.157338490050503,0.124358212414145,0.118556509096516,0.102092747995775,0.370950536297596,0.020164504649405
7,18,20,FALSE,0,0,0,0,0,0,0,0
7,18,21,FALSE,0,0,0,0,0,0,0,0
7,18,22,FALSE,0,0,0,0,0,0,0,0
7,18,23,FALSE,0,0,0,0,0,0,0,0
7,19,0,FALSE,0,0,0,0,0,0,0,0
7,19,1,FALSE,0,0,0,0,0,0,0,0
7,19,2,FALSE,0,0,0,0,0,0,0,0
7,19,3,FALSE,0,0,0,0,0,0,0,0
7,19,4,FALSE,0,0,0,0,0,0,0,0
7,19,5,FALSE,0,0,0,0,0,0,0,0
7,19,6,FALSE,0.112546160078995,0.00159251838906584,0.11068864871691,0.120361868331743,0.17903851928514,0.142764022753746,0.313292984614117,0.0197152778302825
7,19,7,FALSE,0.100922176154892,0.00373053319078314,0.117931888219777,0.118677432006275,0.252852096274598,0.11935764507686,0.268347413707681,0.018180815369135
7,19,8,FALSE,0.101872647703256,0.00830334196922392,0.0988272459419309,0.109640267260224,0.247493545682234,0.134260280732368,0.271811350288557,0.0277913204222083
7,19,9,FALSE,0.0944996842993828,0.00760224295950078,0.137417752355468,0.114762238016332,0.224073952152262,0.143912188669047,0.251575896333977,0.0261560452140298
7,19,10,FALSE,0.0932640835464431,0.00408429771379362,0.148019264516065,0.103269303166511,0.21658422330166,0.149072184694343,0.258163844575592,0.0275427984855915
